time,T_amb,I_fpsc,I_vtsc,P_pv_kWp,p_g
2010-08-19 00:00:00+02:00,18.5,0.0,0,0.0,6.56
2010-08-19 01:00:00+02:00,17.0,0.0,0,0.0,6.468999999999999
2010-08-19 02:00:00+02:00,15.9,0.0,0,0.0,6.269
2010-08-19 03:00:00+02:00,14.9,0.0,0,0.0,6.101
2010-08-19 04:00:00+02:00,14.5,0.0,0,0.0,6.054
2010-08-19 05:00:00+02:00,14.4,0.0,0,0.0,6.601000000000001
2010-08-19 06:00:00+02:00,13.5,0.0,48,0.0,8.39
2010-08-19 07:00:00+02:00,14.6,79.99568901432423,180,54.58280870309042,9.903
2010-08-19 08:00:00+02:00,17.9,243.7790626077176,347,204.09295391646197,10.202
2010-08-19 09:00:00+02:00,20.9,482.5113069450626,506,405.3706757433658,9.427
2010-08-19 10:00:00+02:00,22.1,691.4988570956218,645,563.2897615314247,8.991
2010-08-19 11:00:00+02:00,23.8,842.6280588592005,741,663.3477548951214,9.074
2010-08-19 12:00:00+02:00,24.3,782.4450212665547,683,621.0371093080806,9.265
2010-08-19 13:00:00+02:00,24.6,769.7683576132399,680,611.3869306159298,9.413
2010-08-19 14:00:00+02:00,25.2,905.7632466665027,791,699.7225283136715,8.99
2010-08-19 15:00:00+02:00,25.9,746.6404927128978,661,591.453827787069,8.991
2010-08-19 16:00:00+02:00,25.8,449.95018638289713,419,369.6264623542741,9.193000000000001
2010-08-19 17:00:00+02:00,25.1,340.92636551467206,334,280.7224705139301,10.051
2010-08-19 18:00:00+02:00,24.5,158.27471545209147,169,121.3777962412076,11.494
2010-08-19 19:00:00+02:00,24.0,35.28204314002199,45,14.167083798677174,12.678
2010-08-19 20:00:00+02:00,22.8,0.0,0,0.0,12.812000000000001
2010-08-19 21:00:00+02:00,21.3,0.0,0,0.0,11.961
2010-08-19 22:00:00+02:00,19.9,0.0,0,0.0,11.007
2010-08-19 23:00:00+02:00,18.2,0.0,0,0.0,10.0
2010-08-20 00:00:00+02:00,18.9,0.0,0,0.0,9.5
2010-08-20 01:00:00+02:00,18.9,0.0,0,0.0,8.622
2010-08-20 02:00:00+02:00,18.2,0.0,0,0.0,8.373000000000001
2010-08-20 03:00:00+02:00,17.4,0.0,0,0.0,8.32
2010-08-20 04:00:00+02:00,17.0,0.0,0,0.0,8.395999999999999
2010-08-20 05:00:00+02:00,16.2,0.0,0,0.0,8.870000000000001
2010-08-20 06:00:00+02:00,15.9,0.0,47,0.0,10.311
2010-08-20 07:00:00+02:00,17.2,63.8147862454037,181,39.31017769941176,11.9
2010-08-20 08:00:00+02:00,20.8,234.9677996047053,342,193.26079578604288,12.474
2010-08-20 09:00:00+02:00,23.0,494.6433937304292,511,410.8965714378814,11.4
2010-08-20 10:00:00+02:00,24.8,716.3327948403556,653,573.4413032589529,10.699
2010-08-20 11:00:00+02:00,25.7,869.2516401203038,747,674.440145549514,10.5
2010-08-20 12:00:00+02:00,26.9,944.8332123838419,791,718.1700623579213,9.911
2010-08-20 13:00:00+02:00,27.7,956.2805359737912,792,722.2747897336011,9.0
2010-08-20 14:00:00+02:00,28.5,893.0672311253477,742,680.033785745524,8.518
2010-08-20 15:00:00+02:00,29.0,776.4800512714276,652,602.4196544446829,8.481
2010-08-20 16:00:00+02:00,29.3,591.9745925699551,514,471.6722303325507,9.001000000000001
2010-08-20 17:00:00+02:00,28.9,377.9350564493509,350,305.92845255938454,10.331
2010-08-20 18:00:00+02:00,28.2,181.28397168799629,189,139.29485341680035,11.327
2010-08-20 19:00:00+02:00,26.9,37.63968767305819,50,15.696236119240938,12.522
2010-08-20 20:00:00+02:00,24.4,0.0,0,0.0,12.614
2010-08-20 21:00:00+02:00,21.0,0.0,0,0.0,12.493
2010-08-20 22:00:00+02:00,20.2,0.0,0,0.0,11.068999999999999
2010-08-20 23:00:00+02:00,19.3,0.0,0,0.0,10.6
